,2B,A1,A2,A3,A4,B1,B3,C2
2.0,3694000,3748500,2817580,4030320,3855220,2940840,3582720,3582720
3.0,3709000,3763800,2828800,4038160,3871120,2952720,3597120,3597120
4.0,3724000,3778590,2840020,4063360,3886490,2964600,3611520,3611520
