,A,B,C,D,E,F,G,H,I,J,K,M,N,O,P,Q
4.0,9164,9311,9311,9311,9636,9522,9259,9433,9311,9379,9257,9473,9585,9200,9839,8875
8.0,9355,9505,9505,9505,9739,9505,9451,9631,9505,9498,9449,9659,9895,9389,10040,9062
12.0,9557,9712,9712,9712,10300,9758,9655,9937,9712,10077,9685,9871,10104,9589,10250,9250
