,A,C,D,F,H,I,K
2.0,3341112,3303950,3495660,2739800,3454434,3249550,2538690
3.0,3369840,3320304,3506976,3040760,3587517,2812650,2551560
4.0,3373944,3336658,3531084,2905860,3488301,2826675,2412300
