,A,B,C,D,E,EF,F,G,H,I,J
8.0,7904029,8810949,7886532,7458372,13238896,,7268972,7473188,13126564,7454079,7396203
20.0,8363904,9188592,8154290,7673812,13625880,,7540752,7562088,13096617,7636528,7849090
31.0,8808264,9041760,8772865,7687674,14175468,,7878064,8056372,13169787,8030878,8141755
