,A,B,C,D,E,F,H,I
3.0,5399940,5232220,6034500,6159249,6230000,6763304,5542240,4195632
4.0,5435682,5526416,6075000,6200517,6272000,6809002,5504640,4223856
6.0,5512479,5331704,5011056,5616300,6358800,6902902,5649400,4279968
