,1,10,11,12,2,3,4,5,6,6 & 7,7,8,9
4.0,4120680,3901625,3919175,4914275,3963700,3517755,3498090,3919175,4132410,,4914275,3925025,3919175
8.0,4223145,4016675,4016350,5034550,4054700,3607530,3583590,4016350,4234185,,5034550,4022850,4016350
11.0,4232460,4070950,4019600,5068975,4123275,3617790,3646860,4019600,4309395,,5122950,4033250,4019600
