,A,C,D,E,F,G,H
4.0,6054880,6442254,7261969,6117365,6132456,4768640,5134646
8.0,6200840,6600816,7435560,6267860,6283332,5507830,5945478
11.0,6308670,6720048,7567054,6381225,6396984,5539324,6053190
