,A,B,C,C2,D,D-E,E,F,F & K,G,H,J,K
5.0,2922330,2870750,2800750,2506264,2969700,4992780,2872575,2501295,4526200,3029400,2731885,2755735,2970275
12.0,3056600,2912750,2837000,2540445,3060600,5138190,3080400,2885835,4627960,3111625,2643375,2790715,3042050
19.0,3288600,3012570,2658375,2679482,3125420,5273055,3575540,3586125,4762050,3092925,2722080,3007260,3129775
