,A,B,C,D,E,F,G,H,I,J
3.0,4735250,5369280,4848060,4282740,4794910,4160790,3211260,3178240,2606232,3121080
7.0,4898340,5808730,5000940,5000940,4946800,4381570,2560480,3276260,2768920,3217800
11.0,5054850,5977930,5153820,5153820,5097445,4452535,3410160,3374280,3354944,3314520
