,A,B,C,D,E,F,H,I,J,K,L,M,N,P,Q
3.0,439,518,397,625,592,408,471,484,352,335,415,390,361,356,398
6.0,439,518,397,625,592,408,471,484,352,335,406,390,361,356,398
10.0,439,518,397,625,592,408,471,484,352,335,415,390,367,356,398
