,A,B,C,D,E,F,G,H,I,J
5.0,5467490,4898941,5050956,5058639,4870992,4764063,4827519,5257874,4844031,4914810
12.0,5411250,5275559,5543313,5338872,5333370,5029587,5236152,5532192,5319487,5377515
19.0,6036550,5470328,5763711,5535645,5558673,5274510,5484285,5759667,5434798,5544612
