,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T,U
8.0,14654,18440,16461,19347,13150,14641,17161,17161,17676,17535,15448,17979,14216,17048,17489,15263,14251,16414,15981
16.0,15318,17740,16526,18764,13348,15324,17862,17860,17694,18322,15405,19667,14360,17525,18068,15654,15320,16812,16306
22.0,15458,18604,17708,19609,13821,16205,18387,18388,19168,19012,15660,19835,15225,18183,18816,16327,15790,17447,16769
