,1,2,3,4,5,6,7,8,D1,D3,D6,D7,D8
7.0,3336265,3169500,2976875,3094010,3510950,3640430,3840970,3510950,3494720,2852025,3640430,3640430,3510950
12.0,3423030,3252000,3054150,3174630,3602185,3650050,3943090,3602185,3573445,2938375,3734780,3734780,3602185
17.0,3509795,3334500,3131700,3254960,3693775,3829500,4039660,3693775,3655185,3006850,3829500,3829500,3693775
