,A,B,C,D,E,F,G
11.0,24294999,17596880,22230472,12926296,9295770,9265963,15306860
27.0,26086809,18814404,23895652,13944532,9925620,9518397,16058840
41.0,26734083,17836070,24545900,14591920,10167620,10002314,16845680
