,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
3.0/F低層A,3.0,低層,A,4310768,13996,308,291,3,KCSW
8.0/F中層A,8.0,中層,A,4442592,14424,308,279,3,KCSW
12.0/F高層A,12.0,高層,A,4552856,14782,308,265,3,KCSW
3.0/F低層B,3.0,低層,B,4006440,14360,279,230,3,KCSW
8.0/F中層B,8.0,中層,B,4128921,14799,279,219,3,KCSW
12.0/F高層B,12.0,高層,B,4231035,15165,279,207,3,KCSW
3.0/F低層C,3.0,低層,C,4130099,14291,289,236,3,KCSW
8.0/F中層C,8.0,中層,C,4256392,14728,289,225,3,KCSW
12.0/F高層C,12.0,高層,C,4361877,15093,289,213,3,KCSW
3.0/F低層D,3.0,低層,D,4130099,14291,289,236,3,KCSW
8.0/F中層D,8.0,中層,D,4256392,14728,289,225,3,KCSW
12.0/F高層D,12.0,高層,D,4361877,15093,289,213,3,KCSW
3.0/F低層E,3.0,低層,E,4006440,14360,279,230,3,KCSW
8.0/F中層E,8.0,中層,E,4128921,14799,279,219,3,KCSW
12.0/F高層E,12.0,高層,E,4231035,15165,279,207,3,KCSW
3.0/F低層F,3.0,低層,F,4385920,14240,308,360,3,KCSW
8.0/F中層F,8.0,中層,F,4502036,14617,308,331,3,KCSW
12.0/F高層F,12.0,高層,F,4538996,14737,308,396,4,KCSW
