,1,2,3,4,5,6,7,8,A3,A4,A6,A8
4.0,3877020,3747520,3747520,3760848,4069210,3780315,3780315,3747520,3747520,4927872,4748535,4626090
10.0,5023500,4855410,4855410,4872276,5230160,4897530,5156378,4855410,3860220,5083344,4897530,4770640
16.0,5175990,5002900,5002900,5020368,5389055,5046525,5313126,5002900,3972430,5237832,5046525,4916660
