,A,AB,AC,AF,AK,B,C,D,E,F,G,GJ,H,J,K
9.0,8392074,19684728,15494210,19732470,19684728,8753283,,12919830,8786741,8786741,12919830,25933840,,8753283,8753283
24.0,9040269,21206012,16690966,21256500,21206012,9429288,,13916982,9465719,9465719,13916982,27935760,,9429288,9429288
38.0,9644704,22624252,17807508,22677300,22624252,10059852,,14848616,10098531,10098531,14848616,29804400,,10059852,10059852
