,A1,A2,A3,A4,B1,B2,B3
2.0,6866730,5092920,7629655,4093335,7499340,7308920,8848755
5.0,7109505,5220290,7823255,4207545,7687220,7491820,9069840
8.0,7285590,5347660,8014435,4303935,7874490,7674720,9290925
