,A,B,C,D,E,F,G,H,I,J,K,L
9.0,280,400,290,290,400,280,280,400,290,300,400,260
16.0,280,400,290,290,400,280,280,400,300,300,400,260
22.0,280,400,300,300,400,280,280,400,300,300,400,260
