,C,D,E,F,G,H,J,K
2.0,5539260,3629745,5339850,5151318,3500536,3591180,4507690,3579614
3.0,5555256,3629055,5354885,5159640,3547728,3606090,4579500,3989084
5.0,5577960,3653895,5695993,4967358,3574447,3633425,4494790,3953928
