,1,10,11,2,3,4,5,6,6A,6B,7,8,9,9B
3.0,4898112,3628340,3648120,3932505,5940480,4457830,4390520,3584840,1129485,1002915,4112460,5452800,3548688,2077527
6.0,4878906,3698430,3716060,3952908,6056960,4536270,4468430,3657850,1151185,1022220,4188195,5969920,3613896,2119695
10.0,4432808,3748740,3804210,4077150,5069610,4647570,4579200,3750950,1180170,1048005,3839715,6110720,3332043,2175919
