,A,B,C,D,E,F,G,H,I,J,K,L
3.0,10207,9992,10198,10121,8839,9379,10278,10198,10198,10198,10163,9395
8.0,10504,10285,10495,10418,9080,9714,10576,10495,10495,10495,10458,9708
12.0,10735,10538,10726,10611,9265,9973,10806,10726,10726,10726,10687,9960
