,1,10,11,12,13,14,2,2B,3,4,5,6,7,8,9
3.0,3492580,3710090,3648615,3554856,4030224,3780840,4038300,3398480,4271675,3710910,3776220,3791760,3791760,3921960,3710090
8.0,3598980,3824070,3766325,3663496,4153699,3898440,4162050,3501888,4389475,3825300,3892140,3908100,3908100,4056360,3824070
12.0,3686380,3917140,3859545,3727570,3392040,3372375,5313715,3586528,4495875,3350020,3420900,3175680,3175680,4160940,3917140
