,A,B,C,D,E,F,G,H,J
3.0,12008,11832,12447,12123,12242,11894,13023,13228,12971
8.0,12852,12125,12762,12426,12398,12158,13358,13550,13833
13.0,13152,12455,13060,12733,12759,12307,13609,13895,13610
