,1,2,3,4,5,5 & 6,6,7,8
9.0,6140050,6395200,6590800,5870900,5351150,13668750,7190400,7135600,6178900
16.0,6369650,6685200,6959600,5993050,6338500,13397250,7547200,7114400,6371400
24.0,6761300,7202800,7401600,5981850,6635650,14221500,7969600,7580400,6616400
