,1,10,1016,11,12,13,14,15,16,17,18,19,2,203,204,215,217,218,316,5,6,608,7,8,812,9,913
3.0,585,,499,499,499,499,499,499,499,499,499,519,580,750,750,499,499,499,499,750,750,580,580,580,499,600,499
8.0,585,,499,499,499,499,499,499,499,499,499,519,580,750,750,499,499,499,499,750,750,580,580,580,499,600,499
12.0,585,,499,499,499,,499,,341,499,499,519,580,750,750,499,499,499,499,750,750,580,580,580,499,600,499
