,A,B,C,D,E,F,G,H,J,K,L,M,N,P,R
13.0,26528,25609,26497,23346,25148,26283,26507,25248,24271,26877,24366,25587,24832,23263,23613
28.0,30004,28219,28562,24988,27253,28908,28708,28940,27654,28837,26663,28211,24524,25223,25784
41.0,30437,30905,30846,26988,29003,31161,49873,30839,31143,31166,28382,31446,27278,26740,26778
