,1,10,11,12,12A,2,3,4,5,6,7,8,9
4.0,9087,8977,9184,9198,9246,9238,9238,9238,9165,9165,9238,9354,9140
9.0,9486,9371,9587,9601,9652,9643,9566,9643,9566,9566,9643,9575,9541
14.0,9884,9764,9990,10005,10057,10048,9968,10048,9968,10048,10048,10052,9942
