,A,B,C,C & D,D,E,EF,F,G,G & H,H,I,J,K,L,M,N,O,P,Q,R,S
3.0,2956196,2925636,2906947,4620000,2817360,2961840,4620000,2965200,2707110,4620000,2960790,2750443,2900800,3751330,2700600,3048076,3304392,2851255,2909130,2921520,2821140,3172120
8.0,3103428,3086412,2992710,4777920,2896740,3058650,4777920,3109890,2788380,4777920,3057600,2921055,2999600,3615990,2758000,3147702,3428607,2847730,3045840,3059070,2908080,3072440
12.0,3177686,3037692,3075747,4884600,2924249,3131940,4884600,3131940,2849700,4884600,3131100,2888631,2953200,3874945,2825800,2987036,3399123,2919875,2964570,2991450,2913960,3144960
