,A,B,C,D,E,F,G,H,J
17.0,6797406,5671965,10767471,6878400,6918702,6664380,8055750,6772143,6662576
36.0,7316232,6069323,11028303,8291565,7080555,7104270,8470900,7057113,7080640
58.0,7623924,13556004,11674935,8816314,7400475,7446782,9184044,15956832,7497776
