,LA,LALCRD,LB,LC,LD,LDRD,RA,RARD,RB,RC,RD,RDLD
25.0,11655,,11742,11018,10654,11203,11181,11161,10861,10545,11209,11203
63.0,16010,,16499,14753,15906,14150,15177,14099,16059,14895,16128,14150
102.0,,,,,,,,,,,,
