,A,B,C,D,E,F,G,H,I,J,K,L,M,N
4.0,520,460,460,460,460,460,460,485,460,630,645,525,410,385
10.0,520,460,460,460,460,460,460,485,460,630,645,525,410,385
16.0,430,355,355,355,355,355,355,355,355,445,411,425,335,370
