,A,B,C,D,E,F,G,H,I,J
3.0,10075,11424,11543,10197,11554,10026,12351,12224,10509,12585
7.0,10422,12359,11907,11907,11920,10558,9848,12601,11165,12975
11.0,10755,12719,12271,12271,12283,10729,13116,12978,13528,13365
