,1,10,2,3,4,5,6,7,8,9,F10,F3,F7,F8,F9
4.0,460,294,460,370,370,312,312,294,311,311,294,370,294,311,311
7.0,460,294,460,370,370,312,312,294,311,311,294,370,294,311,311
10.0,460,294,460,370,370,312,312,294,311,311,294,370,294,311,311
