,1,2,3,4,5,6,A1,A2,A5,C3,C4,C6,D1,D3,D5,E1,E4,E5,F1,F4,F5,G1,G2,G3,G4,G6,H2,H6,I2,I3,I5,I6,J2,J5,J6
4.0,12942,12993,12685,13180,12012,11405,13533,12895,12454,12183,12923,12766,13323,13180,12204,13269,12145,12923,12308,11705,12531,12874,13023,13180,12855,12513,13199,12052,13011,13180,12018,13138,12979,12826,12012
8.0,13722,13797,13027,12977,12798,13041,14051,13583,12794,12264,13299,12964,13932,12977,12934,13876,12979,13134,12739,12108,13136,13449,13603,12977,13215,13261,14243,12497,13591,12977,12438,14127,13562,13142,12897
12.0,14337,14265,13803,13314,12824,13120,14541,14194,12725,12590,13496,12880,14554,13314,12834,14503,13447,13289,13786,12436,13033,14039,14204,13314,14047,13164,14441,12931,14192,13314,12825,14287,14167,12866,13294
