,A1,A10,A1010,A11,A1109,A12,A12 & A13,A1206,A13,A1403,A1410,A1411,A2,A205,A207,A3,A309,A4,A402,A403,A5,A6,A605,A608,A7,A703,A707,A8,A9,A909,B1,B10,B11,B12,B1201,B1507,B1512,B2,B208,B210,B3,B306,B307,B309,B312,B4,B402,B411,B5,B6,B7,B8,B9,B902,C1,C10,C11,C12,C13,C1309,C1409,C2,C3,C307,C310,C311,C313,C4,C5,C512,C6,C7,C8,C9
3.0,10449,10399,10399,10645,10738,10506,9865,11063,12816,10889,10399,10645,10433,11790,10639,11441,10738,11742,11032,12701,10681,10639,9809,10602,10449,11042,10639,9988,10626,10738,10751,11441,10451,10691,10420,11305,10450,10303,11325,11305,10301,10590,11305,11325,10479,9757,10303,10619,12703,12965,11305,11288,11325,10303,10506,10399,10979,10496,13062,10602,10570,11496,11078,10639,10399,10914,10651,11236,10725,10496,10824,10639,10586,10602
8.0,11520,10384,11330,12536,10527,11481,10374,11277,13142,11612,11330,11646,11654,10516,10442,11638,10527,11436,11326,12708,10519,10442,10139,10409,10577,11255,10442,10337,10494,10527,10540,10752,10839,11553,11357,10816,11397,10134,11452,10816,10190,11584,10816,11452,11399,10301,10134,11617,11361,13423,10816,11392,11452,10134,11481,11330,11934,11466,13525,10409,10464,11864,11295,10442,11330,11858,11654,11551,10516,11466,10558,10558,10899,10409
13.0,11923,11728,11728,12182,10905,12028,10818,11673,13336,12296,11728,10972,11009,11164,11070,12101,10905,12028,11724,12778,12174,11673,10830,11045,11826,11651,11070,11024,10867,10905,11194,11662,11212,11961,11756,11698,11945,10881,11792,11698,11108,12116,11698,11792,11797,12109,10732,12151,11834,13467,11698,12097,11792,10732,12028,11728,12344,12013,13587,11045,10874,12249,11692,11070,11728,12406,12189,12372,12109,12013,10957,11673,10587,11045
