,6,A,B,C,D,E,F,G,H
3.0,10089300,19955800,20206420,16702350,10089300,10089300,18359960,20154680,16802100
6.0,10590385,20945680,21146000,17524500,10590385,10590385,19269020,21156990,17634750
10.0,11262160,22271170,22389690,18627000,11262160,11262160,20488730,22501690,18749850
