,subjFloor,floorLv,unitNo,price,npsf,nfa
4.0/F低層1,4.0,低層,1,15267006,18573,822
11.0/F中層1,11.0,中層,1,15779934,19197,822
19.0/F高層1,19.0,高層,1,16107912,19596,822
4.0/F低層2,4.0,低層,2,9941888,14122,704
11.0/F中層2,11.0,中層,2,10289664,14616,704
19.0/F高層2,19.0,高層,2,10695168,15192,704
4.0/F低層3,4.0,低層,3,9538452,14652,651
11.0/F中層3,11.0,中層,3,9822288,15088,651
19.0/F高層3,19.0,高層,3,10166016,15616,651
4.0/F低層4,4.0,低層,4,7893190,14590,541
11.0/F中層4,11.0,中層,4,8263775,15275,541
19.0/F高層4,19.0,高層,4,8593244,15884,541
4.0/F低層5,4.0,低層,5,7815286,14446,541
11.0/F中層5,11.0,中層,5,8082540,14940,541
19.0/F高層5,19.0,高層,5,8472601,15661,541
4.0/F低層6,4.0,低層,6,9393930,14430,651
11.0/F中層6,11.0,中層,6,9696645,14895,651
19.0/F高層6,19.0,高層,6,10052742,15442,651
4.0/F低層7,4.0,低層,7,11850462,17874,663
11.0/F中層7,11.0,中層,7,12232350,18450,663
19.0/F高層7,19.0,高層,7,12677223,19121,663
4.0/F低層8,4.0,低層,8,13796448,16784,822
11.0/F中層8,11.0,中層,8,14276496,17368,822
19.0/F高層8,19.0,高層,8,14911902,18141,822
