,A,C,D,E,F,G,H,J
3.0,9877,12039,12173,11963,12447,11741,12062,12319
6.0,10059,9403,9500,9347,12679,12204,9430,9604
8.0,10180,9516,9614,9431,12835,12346,9544,12701
