,A,B,C,D,E,F,G,H,J,JK,K
8.0,12811,14404,13335,14833,14085,14593,15619,14912,15011,11354,12818
18.0,13157,15579,14218,15668,14893,14819,14936,15323,15823,11986,14719
28.0,14364,15908,14330,16390,15105,14744,15383,15787,16543,12626,16694
