,A01,A02,A03,A05,A06,A07,B01,B02,B03,B05,B06,B07,B08
6.0,3984980,3950375,4132310,6864933,5347543,5254227,3935365,3829500,4112402,3960926,5024948,5200164,5232546
16.0,4119990,4014023,4290048,7330185,5437787,5431833,4038186,3942225,4170236,4051018,5082963,5433392,5310954
25.0,4179100,4177121,4430496,7772421,5602453,5569047,4166655,4162275,4303516,4177682,5247103,5501661,5465394
