,1,4,7,8,A,A10,A11,A12,A2,B12,B2,B3
3.0,47383644,47383644,47383644,47383644,61916465,47383644,47383644,47383644,47383644,47383644,47383644,45952032
6.0,48397104,48397104,48397104,48397104,63239580,48397104,48397104,48397104,48397104,48397104,48397104,47094768
10.0,49747320,49747320,49747320,49747320,65004415,49747320,49747320,49747320,49747320,49747320,49747320,48427428
