,C1,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C2,C20,C3,C4,C5,C6,C7,C8,C9
2.0,2750720,2611180,2695825,2695825,2555040,2957150,2695825,2974680,2540760,2679750,2484969,2540445,2494052,2722440,2607162,2722440,2639930,2695825,2334768,2695825
4.0,2761080,2636140,2721400,2721400,2574480,2985850,2721400,3003480,2564816,2687310,2516522,2542244,2517768,2748200,2632052,2647510,2665105,2721400,2358136,2721400
7.0,2801400,2673840,2760175,2760175,2612160,3027850,2760175,3046320,2601520,2725920,2484742,2588504,2554068,2787680,2669780,2787680,2703265,2760175,2359152,2760175
