,A,AB,B,C,CD,D,E
4.0,5679432,10937605,5796800,5609065,11229837,5799824,7865088
7.0,5805360,11155823,5924800,5731110,11453913,5925064,8047564
10.0,5954022,11374041,6039200,5776000,11677989,6123548,8193332
