,A,B,C,D,E,F,G,H,J,K,L,M,N,P,Q,R
9.0,234,290,293,290,300,451,301,290,218,293,297,214,216,384,299,238
20.0,234,290,293,290,300,451,301,290,218,293,297,214,216,384,299,238
30.0,234,290,293,290,300,451,301,290,218,293,297,214,216,384,299,238
