,1,10,3,4,5,6,7,8,9,B1,B2,B3,B5,B9
4.0,4742499,3374500,3584520,3584520,3540840,3698400,3698400,3540840,3929526,5378820,4808910,3544200,3555090,3905358
7.0,4846119,3449300,3664440,3493080,3625770,3786900,3786900,3625770,4022700,5513055,4913943,3624840,3640020,3998214
10.0,4948797,3524100,3744360,3921120,3711555,3876600,3876600,3711555,3439488,5643522,5018505,3702240,3726090,4092660
