,subjFloor,floorLv,unitNo,price,npsf,nfa
5.0/F低層A,5.0,低層,A,10547795,14045,751
13.0/F中層A,13.0,中層,A,10963849,14599,751
21.0/F高層A,21.0,高層,A,11451248,15248,751
5.0/F低層B,5.0,低層,B,6959337,13461,517
13.0/F中層B,13.0,中層,B,7417399,14347,517
21.0/F高層B,21.0,高層,B,7765340,15020,517
5.0/F低層C,5.0,低層,C,7098410,13730,517
13.0/F中層C,13.0,中層,C,7445317,14401,517
21.0/F高層C,21.0,高層,C,7802564,15092,517
5.0/F低層D,5.0,低層,D,9752400,14175,688
13.0/F中層D,13.0,中層,D,10159696,14767,688
21.0/F高層D,21.0,高層,D,10725920,15590,688
5.0/F低層E,5.0,低層,E,9421472,13694,688
13.0/F中層E,13.0,中層,E,9620992,13984,688
21.0/F高層E,21.0,高層,E,10086768,14661,688
5.0/F低層F,5.0,低層,F,7122192,13776,517
13.0/F中層F,13.0,中層,F,7465997,14441,517
21.0/F高層F,21.0,高層,F,7727082,14946,517
5.0/F低層G,5.0,低層,G,7024479,13587,517
13.0/F中層G,13.0,中層,G,7324856,14168,517
21.0/F高層G,21.0,高層,G,7681069,14857,517
5.0/F低層H,5.0,低層,H,10663449,14199,751
13.0/F中層H,13.0,中層,H,10746059,14309,751
21.0/F高層H,21.0,高層,H,11457256,15256,751
