,1,2,3,4,5,6,7,8
10.0,13876,15859,15816,13820,13785,16512,15134,14203
20.0,14349,16562,16628,14237,15133,17077,16925,15153
29.0,15108,17182,17028,14753,16981,17355,17508,16584
