,A,B,C,D,E,F,G,H,J,K,L,M
6.0,8357,8265,8355,8357,9824,9964,8357,8355,8174,8449,9925,8607
14.0,8589,8494,8587,8589,10062,10186,8589,8587,8348,8683,10164,8870
23.0,8836,8740,8834,8836,9695,10493,8836,8834,8652,8933,10469,9133
