,1,12,13,14,16,17,18,20,4,5,6,9
10.0,5583,5394,5505,5552,5457,4935,5552,5449,5449,5449,4462,5457
18.0,5728,5593,5644,5698,5600,5080,5698,5593,5593,5593,4567,5600
28.0,4973,4668,5816,4741,4676,5269,4741,4668,4668,4668,4690,4676
