,A,B,C,D,E,F,G,H,HI,I,J
4.0,14189,14273,15225,14362,13866,14445,14250,14132,,14085,13373
8.0,14516,14600,15695,14860,14258,14451,14629,14535,,14483,13620
11.0,14822,14508,16047,15200,14583,14114,15238,14405,,14815,14059
