,A,B,BC,C,D,E,F,G,H
8.0,12241,13462,12462,12810,12723,12596,12596,12253,12480
20.0,13029,13639,13030,13105,13292,13024,13028,13265,12864
33.0,13302,13754,13657,12876,13994,13506,12963,13506,13442
