,B,C,D,E,F,G,H,I
3.0,5024900,5111204,6002400,5002627,4858680,5376020,4066842,3743993
6.0,5119185,5218665,5916915,5095679,5111730,5478100,4142424,3813183
9.0,5208565,5208565,6019620,5183321,5210595,5575540,4212702,3877489
