,10B,12A,12B,F.P.,R.P.,whole floor
2.0,4199694,6474082,3969348,6474082,3886134,4199694
4.0,4254366,6558294,3981408,6558294,3940002,6960088
7.0,4335972,6684043,4098390,7094188,4015980,7094188
