,A,B,C,D,E,F,G,H,I,J,K,L
3.0,530,320,530,530,310,530,530,310,528,475,320,530
6.0,530,320,530,530,310,530,530,310,528,475,320,530
10.0,530,320,530,530,310,530,530,310,528,475,320,530
