,1,10,11,12,13,14,15,16,2,3,4,5,6,8,9
9.0,5630724,6316944,6282402,5672940,5672940,4480302,4415040,5661474,6253110,6269070,5505864,5670756,4432560,5390658,6696382
20.0,5734050,6615096,6539535,5729731,5729731,4628400,4536366,5739469,5587398,6531093,5569595,5497642,4623180,5663188,6038490
32.0,6061440,6894940,5661864,5130368,5158976,4075396,4194726,5746916,5687578,6322056,5269710,5756600,4752810,5170180,6348800
