,A,A1,A2,B,B2,B3,C,D,E,E1,E2,E3,F,F1,F2,G,H,I,J,K,L
4.0,,729,342,,310,383,,629,,383,306,282,,667,342,,295,222,400,302,306
9.0,,729,342,,310,383,,629,,383,306,282,,667,342,,295,222,400,302,306
14.0,,729,342,,310,383,,629,,383,306,282,,667,342,,295,222,400,302,306
