,A,B,C,C2,D,D-E,E,F,F & K,G,H,J,K
5.0,10077,11483,11203,9752,9899,8996,11265,9809,8540,11016,10309,10399,10801
12.0,10540,11651,11348,9885,10202,9258,12080,11317,8732,11315,9975,10531,11062
19.0,10962,11814,10425,10426,10082,9501,9796,9825,8985,11247,10272,11138,11381
