,A1,A3,A4,B1,B2,B3,C1,C2,C3,D1,D2,D3
2.0,4657960,4719001,3772890,2835180,2835180,3622564,4054220,2835180,3622564,3677640,2835180,5174035
3.0,4698830,3637328,3802760,2857600,2857600,3651158,4086900,2857600,3651158,2857600,2857600,5215447
4.0,4739700,3666297,3832630,2880020,2880020,3680245,4119580,4009000,3680245,2880020,2880020,5256859
