,1,2,3,4,5,6,7,8,A3,A4,A6,A8
4.0,7602,7648,7648,7644,7606,7637,7637,7648,7648,10016,9593,9441
10.0,9850,9909,9909,9903,9776,9894,9803,9909,7878,10332,9894,9736
16.0,10149,10210,10210,10204,10073,10195,10101,10210,8107,10646,10195,10034
