,A,B,C,D,E,G,H,J,K
8.0,9061,9066,8016,7960,8955,7929,7566,8281,8036
16.0,9233,9243,8132,8075,9129,8036,7641,8428,8153
25.0,9434,9449,7731,7762,9333,7780,7703,8585,7747
