,A,B,C,D,E,F,G,H,I,I2,J,J1,J2,K,L,M,N,O,P,PORTION 1 OF I,Q
3.0,4674240,4253910,6846930,3629340,4371150,4293040,4086500,2704000,4175500,2019444,4371150,1937884,2159744,3292560,4302900,4175500,2949050,4088529,4151441,2179490,3640226
6.0,4779000,4358970,6988340,4202740,4479300,4399130,4189500,2771275,4278500,2069904,4479300,1986356,2213700,3374280,4409475,4278500,3022825,4351122,4254817,2234020,3728150
8.0,4851900,4429350,7095780,4301910,4551750,4851900,4256500,2815800,4347500,2103660,4551750,2018560,2249608,3428640,4479825,4347500,3075150,4257723,4323403,2270310,3786766
