,A,B,C,D,E,EF,F,G,H,I,J,K,L,M,N,O
6.0,3747900,3733300,3918330,3730044,3752364,7299198,3803280,4006860,3965910,6418265,3760176,3741810,3995160,3735624,3788120,5348455
12.0,3930180,3913490,4054440,3911580,3892980,7215378,3935490,4137120,4133220,6596170,3966264,3885740,3996330,3875868,3916355,5721520
19.0,4042896,4032260,4258020,4032108,4018344,7402068,4068090,4252170,4255290,6759795,4081584,4039660,4226820,3997512,4036705,5901210
