,subjFloor,floorLv,unitNo,price,npsf,nfa
3.0/F低層whole floor,3.0,低層,whole floor,5230536,9274,564
4.0/F中層whole floor,4.0,中層,whole floor,5264376,9334,564
5.0/F高層whole floor,5.0,高層,whole floor,5198050,9451,550
